"","","","","","","","","","","","","","","","","","","","","","","","",""
"Famille","Brand","Jun-08","Jul-08","Aug-08","Sep-08","Oct-08","Nov-08","Dec-08","Jan-09","Feb-09","Mar-09","Apr-09","May-09","TOTAL","demande moyenne","Niveau de service","Temps de Transport (jours)","Temps de proc√®s (jours)","D√©lai de livraison (jours)","P√©riodicit√© de commande (jours)","Stock de s√©curit√© (TN)","couverture (semaine)","Niveau de recompl√©tement (TN)","Stock d'alerte (TN)"
"S100g","Omo","  40.13\  Ç¨ ","  56.09\  Ç¨ ","  94.91\  Ç¨ ","  31.13\  Ç¨ ","  269.23\  Ç¨ ","  206.64\  Ç¨ ","  141.30\  Ç¨ ","  16.17\  Ç¨ ","  51.43\  Ç¨ ","  202.39\  Ç¨ ","  88.90\  Ç¨ ","  150.51\  Ç¨ ","  1,348.83\  Ç¨ ","  112.40\  Ç¨ ","95%","1","0.5","2","3","42.29","1.50","70.39","  53.53\  Ç¨ "
"BB400g","Omo","  64.15\  Ç¨ ","  71.34\  Ç¨ ","  54.55\  Ç¨ ","  42.68\  Ç¨ ","  84.85\  Ç¨ ","  80.12\  Ç¨ ","  54.31\  Ç¨ ","  16.83\  Ç¨ ","  38.73\  Ç¨ ","  91.59\  Ç¨ ","  32.36\  Ç¨ ","  73.25\  Ç¨ ","  704.77\  Ç¨ ","  58.73\  Ç¨ ","95%","1","0.5","2","3","11.91","0.81","26.59","  17.78\  Ç¨ "
"Box 1 Kg","Matic","  8.73\  Ç¨ ","  57.92\  Ç¨ ","  40.71\  Ç¨ ","  35.46\  Ç¨ ","  34.97\  Ç¨ ","  73.53\  Ç¨ ","  7.96\  Ç¨ ","  14.34\  Ç¨ ","  20.28\  Ç¨ ","  18.78\  Ç¨ ","  44.18\  Ç¨ ","  26.31\  Ç¨ ","  383.17\  Ç¨ ","  31.93\  Ç¨ ","95%","1","0.5","2","3","10.42","1.31","18.41","  13.62\  Ç¨ "
"P1300g","Omo","  32.87\  Ç¨ ","  31.22\  Ç¨ ","  25.11\  Ç¨ ","  60.57\  Ç¨ ","  22.96\  Ç¨ ","  43.66\  Ç¨ ","  23.17\  Ç¨ ","  20.61\  Ç¨ ","  28.71\  Ç¨ ","  28.94\  Ç¨ ","  16.77\  Ç¨ ","  33.19\  Ç¨ ","  367.78\  Ç¨ ","  30.65\  Ç¨ ","95%","1","0.5","2","3","6.12","0.80","13.78","  9.18\  Ç¨ "
"P200g","Omo","  10.08\  Ç¨ ","  15.97\  Ç¨ ","  17.50\  Ç¨ ","  63.36\  Ç¨ ","  16.27\  Ç¨ ","  11.73\  Ç¨ ","  22.67\  Ç¨ ","  16.85\  Ç¨ ","  26.10\  Ç¨ ","  20.34\  Ç¨ ","  19.50\  Ç¨ ","  17.66\  Ç¨ ","  258.02\  Ç¨ ","  21.50\  Ç¨ ","95%","1","0.5","2","3","7.21","1.34","12.59","  9.36\  Ç¨ "
"Bag 1 Kg","Matic","  17.52\  Ç¨ ","  13.64\  Ç¨ ","  4.35\  Ç¨ ","  20.78\  Ç¨ ","  43.88\  Ç¨ ","  18.70\  Ç¨ ","  15.58\  Ç¨ ","  22.42\  Ç¨ ","  21.89\  Ç¨ ","  17.61\  Ç¨ ","  16.03\  Ç¨ ","  30.13\  Ç¨ ","  242.53\  Ç¨ ","  20.21\  Ç¨ ","95%","1","0.5","2","3","5.00","0.99","10.05","  7.02\  Ç¨ "
"S160g","Matic","  15.68\  Ç¨ ","  8.89\  Ç¨ ","  5.83\  Ç¨ ","  12.35\  Ç¨ ","  37.51\  Ç¨ ","  3.33\  Ç¨ ","  13.48\  Ç¨ ","  31.85\  Ç¨ ","  15.88\  Ç¨ ","  24.04\  Ç¨ ","  16.38\  Ç¨ ","  26.31\  Ç¨ ","  211.53\  Ç¨ ","  17.63\  Ç¨ ","95%","1","0.5","2","3","5.40","1.23","9.81","  7.17\  Ç¨ "
"Box 5 Kg","Matic","  46.86\  Ç¨ ","  17.42\  Ç¨ ","  6.30\  Ç¨ ","  10.47\  Ç¨ ","  39.86\  Ç¨ ","  8.64\  Ç¨ ","  28.31\  Ç¨ ","  8.73\  Ç¨ ","  4.20\  Ç¨ ","  10.64\  Ç¨ ","  10.10\  Ç¨ ","  8.06\  Ç¨ ","  199.57\  Ç¨ ","  16.63\  Ç¨ ","95%","1","0.5","2","3","7.30","1.76","11.46","  8.97\  Ç¨ "
"BB200g","Omo","  5.46\  Ç¨ ","  19.43\  Ç¨ ","  17.64\  Ç¨ ","  40.43\  Ç¨ ","- 2.49\  Ç¨ ","  28.25\  Ç¨ ","  35.56\  Ç¨ ","  6.61\  Ç¨ ","  1.42\  Ç¨ ","  27.37\  Ç¨ ","  9.21\  Ç¨ ","  7.35\  Ç¨ ","  196.26\  Ç¨ ","  16.35\  Ç¨ ","95%","1","0.5","2","3","7.27","1.78","11.35","  8.90\  Ç¨ "
"100 sachets","Levure Chimique","  22.06\  Ç¨ ","  13.07\  Ç¨ ","  9.58\  Ç¨ ","  23.94\  Ç¨ ","  8.17\  Ç¨ ","  1.45\  Ç¨ ","  22.73\  Ç¨ ","  6.23\  Ç¨ ","  15.42\  Ç¨ ","  18.17\  Ç¨ ","  14.17\  Ç¨ ","  20.33\  Ç¨ ","  175.32\  Ç¨ ","  14.61\  Ç¨ ","95%","1","0.5","2","3","3.74","1.02","7.39","  5.20\  Ç¨ "
