;;;;;;;;;;;;;;;;;;;;;;;;
Famille;Brand;juin-08;juil.-08;août-08;sept.-08;oct.-08;nov.-08;déc.-08;janv.-09;févr.-09;mars-09;avr.-09;mai-09;TOTAL;demande moyenne;Niveau de service;Temps de Transport (jours);Temps de procès (jours);Délai de livraison (jours);Périodicité de commande (jours);Stock de sécurité (TN);couverture (semaine);Niveau de recomplétement (TN);Stock d'alerte (TN)
S100g;Omo; 40,13   ; 56,09   ; 94,91   ; 31,13   ; 269,23   ; 206,64   ; 141,30   ; 16,17   ; 51,43   ; 202,39   ; 88,90   ; 150,51   ; 1 348,83   ; 112,40   ;95%;1;0,5;2;3;42,29;1,50;70,39; 53,53   
BB400g;Omo; 64,15   ; 71,34   ; 54,55   ; 42,68   ; 84,85   ; 80,12   ; 54,31   ; 16,83   ; 38,73   ; 91,59   ; 32,36   ; 73,25   ; 704,77   ; 58,73   ;95%;1;0,5;2;3;11,91;0,81;26,59; 17,78   
Box 1 Kg;Matic; 8,73   ; 57,92   ; 40,71   ; 35,46   ; 34,97   ; 73,53   ; 7,96   ; 14,34   ; 20,28   ; 18,78   ; 44,18   ; 26,31   ; 383,17   ; 31,93   ;95%;1;0,5;2;3;10,42;1,31;18,41; 13,62   
P1300g;Omo; 32,87   ; 31,22   ; 25,11   ; 60,57   ; 22,96   ; 43,66   ; 23,17   ; 20,61   ; 28,71   ; 28,94   ; 16,77   ; 33,19   ; 367,78   ; 30,65   ;95%;1;0,5;2;3;6,12;0,80;13,78; 9,18   
P200g;Omo; 10,08   ; 15,97   ; 17,50   ; 63,36   ; 16,27   ; 11,73   ; 22,67   ; 16,85   ; 26,10   ; 20,34   ; 19,50   ; 17,66   ; 258,02   ; 21,50   ;95%;1;0,5;2;3;7,21;1,34;12,59; 9,36   
Bag 1 Kg;Matic; 17,52   ; 13,64   ; 4,35   ; 20,78   ; 43,88   ; 18,70   ; 15,58   ; 22,42   ; 21,89   ; 17,61   ; 16,03   ; 30,13   ; 242,53   ; 20,21   ;95%;1;0,5;2;3;5,00;0,99;10,05; 7,02   
S160g;Matic; 15,68   ; 8,89   ; 5,83   ; 12,35   ; 37,51   ; 3,33   ; 13,48   ; 31,85   ; 15,88   ; 24,04   ; 16,38   ; 26,31   ; 211,53   ; 17,63   ;95%;1;0,5;2;3;5,40;1,23;9,81; 7,17   
Box 5 Kg;Matic; 46,86   ; 17,42   ; 6,30   ; 10,47   ; 39,86   ; 8,64   ; 28,31   ; 8,73   ; 4,20   ; 10,64   ; 10,10   ; 8,06   ; 199,57   ; 16,63   ;95%;1;0,5;2;3;7,30;1,76;11,46; 8,97   
BB200g;Omo; 5,46   ; 19,43   ; 17,64   ; 40,43   ;-2,49   ; 28,25   ; 35,56   ; 6,61   ; 1,42   ; 27,37   ; 9,21   ; 7,35   ; 196,26   ; 16,35   ;95%;1;0,5;2;3;7,27;1,78;11,35; 8,90   
100 sachets;Levure Chimique; 22,06   ; 13,07   ; 9,58   ; 23,94   ; 8,17   ; 1,45   ; 22,73   ; 6,23   ; 15,42   ; 18,17   ; 14,17   ; 20,33   ; 175,32   ; 14,61   ;95%;1;0,5;2;3;3,74;1,02;7,39; 5,20   
45L;Bouillon; 41,40   ; 15,50   ; 25,60   ; 23,63   ; 0,68   ; 13,82   ; 5,17   ;-2,29   ; 10,33   ; 6,71   ; 9,65   ; 16,24   ; 166,43   ; 13,87   ;95%;1;0,5;2;3;6,26;1,80;9,72; 7,64   
5ml;Sunsilk shmp; 19,83   ; 0,61   ; 31,92   ; 10,40   ; 13,84   ; 29,17   ; 8,94   ; 5,56   ; 4,52   ; 10,85   ; 16,22   ;-6,30   ; 145,56   ; 12,13   ;95%;1;0,5;2;3;5,76;1,90;8,79; 6,97   
Bag 5 Kg;Matic; 0,67   ; 4,40   ; 28,95   ; 17,99   ;-0,27   ; 7,36   ; 5,09   ; 9,70   ; 15,55   ; 10,37   ; 5,63   ; 7,66   ; 113,08   ; 9,42   ;95%;1;0,5;2;3;4,24;1,80;6,59; 5,18   
10kg;Omo; 16,46   ; 8,98   ; 16,76   ; 12,92   ; 3,19   ; 3,25   ; 6,05   ; 8,84   ; 14,01   ; 3,12   ; 11,69   ; 7,27   ; 112,54   ; 9,38   ;95%;1;0,5;2;3;2,60;1,11;4,95; 3,54   
Box 3 Kg;Matic; 12,51   ; 6,78   ; 8,93   ; 8,18   ; 2,01   ; 2,75   ; 7,18   ; 13,47   ; 12,75   ; 5,86   ; 9,08   ; 12,55   ; 102,03   ; 8,50   ;95%;1;0,5;2;3;2,00;0,94;4,13; 2,85   
5ml;Clearshmp; 4,99   ; 4,39   ; 4,03   ; 2,64   ; 0,02   ; 12,66   ; 2,67   ; 31,00   ; 6,58   ; 9,07   ; 14,80   ; 2,50   ; 95,36   ; 7,95   ;95%;1;0,5;2;3;4,40;2,22;6,39; 5,20   
Bag 3 Kg;Matic; 15,30   ; 4,05   ; 8,14   ; 9,23   ;-3,24   ; 7,70   ; 3,19   ; 5,64   ; 9,66   ; 9,68   ; 3,46   ; 1,82   ; 74,63   ; 6,22   ;95%;1;0,5;2;3;2,49;1,60;4,04; 3,11   
25ml;Signal; 0,04   ; 4,15   ; 7,37   ; 0,26   ; 18,72   ; 3,13   ; 10,15   ; 10,06   ; 4,16   ; 2,53   ; 9,91   ; 4,13   ; 74,61   ; 6,22   ;95%;1;0,5;2;7;2,77;1,78;5,57; 3,39   
100ml;Sunsilk shmp; 0,66   ; 7,74   ; 1,15   ; 29,73   ;-12,91   ; 1,25   ; 2,04   ; 1,75   ; 5,15   ; 4,45   ; 11,73   ; 14,55   ; 67,29   ; 5,61   ;95%;1;0,5;2;7;5,29;3,78;7,82; 5,85   
50ml;Signal; 0,23   ; 2,33   ; 3,33   ; 9,59   ; 7,07   ; 3,90   ; 4,43   ; 5,83   ; 6,71   ; 3,41   ; 12,12   ; 5,09   ; 64,05   ; 5,34   ;95%;1;0,5;2;7;1,68;1,26;4,08; 2,22   
S120g;Skiphs; 5,39   ; 13,43   ; 6,69   ; 15,91   ;-8,69   ; 6,26   ; 3,51   ; 5,70   ; 5,90   ; 4,27   ; 2,05   ; 0,20   ; 60,61   ; 5,05   ;95%;1;0,5;2;7;3,20;2,54;5,48; 3,71   
S760g;Omo; 4,47   ; 2,74   ; 3,87   ; 5,37   ; 6,15   ; 4,64   ; 4,44   ; 4,85   ; 5,17   ; 4,45   ; 4,48   ; 3,70   ; 54,31   ; 4,53   ;95%;1;0,5;2;7;0,45;0,40;2,49; 0,90   
100 sachets;Sucre Vanille; 1,10   ; 4,97   ; 8,35   ; 14,86   ;-3,11   ; 2,41   ; 5,59   ; 3,66   ; 4,02   ; 5,08   ; 2,24   ; 4,68   ; 53,85   ; 4,49   ;95%;1;0,5;2;7;2,24;2,00;4,26; 2,69   
Bag 1 Kg;Skipls; 4,67   ; 12,55   ; 0,96   ;-3,27   ; 5,00   ; 3,92   ; 3,71   ; 2,95   ; 3,50   ; 5,40   ; 4,85   ; 3,83   ; 48,09   ; 4,01   ;95%;1;0,5;2;7;1,86;1,86;3,67; 2,26   
75grs;Lux bar; 0,89   ; 9,69   ;-0,07   ; 1,34   ; 3,30   ; 2,44   ; 2,91   ; 4,13   ; 4,67   ; 2,75   ; 4,91   ; 6,71   ; 43,65   ; 3,64   ;95%;1;0,5;2;7;1,39;1,53;3,03; 1,75   
4*10 sachets;Levure Chimique; 3,40   ; 2,39   ; 2,98   ; 7,38   ;-1,61   ; 1,76   ; 3,33   ; 3,07   ; 3,48   ; 4,70   ; 2,33   ; 5,80   ; 39,02   ; 3,25   ;95%;1;0,5;2;7;1,14;1,41;2,61; 1,47   
95ml;Clearshmp; 0,15   ; 2,87   ; 2,11   ; 1,28   ; 2,73   ; 1,37   ; 3,34   ; 4,01   ; 2,57   ; 3,01   ; 2,44   ; 2,53   ; 28,41   ; 2,37   ;95%;1;0,5;2;7;0,54;0,90;1,60; 0,77   
